author,category,content,country,description,publishedAt,source,title,url,urlToImage
RND RedaktionsNetzwerk Deutschland,general,Mehr als 150 Unternehmen wollen am Dienstag (7. Dezember) gemeinsam für die Corona-Schutzimpfung werben. Dafür ändern die Konzerne ihre bekannten Werbeslogans zum Thema Impfen ab. Ins Leben gerufen w… [+3105 chars],deu,,2021-12-07T13:01:18Z,Www.rnd.de,Vaccination campaign: 150 companies change their slogans - RND,https://www.rnd.de/panorama/impfkampagne-150-unternehmen-veraendern-ihre-slogans-RL7RZ7XGXRDLRHBWKJ5VOKDCJU.html,https://www.rnd.de/resizer/0vXKwynpO-USWnHlNO4H7leDcY4=/1080x607/filters:quality(70)/cloudfront-eu-central-1.images.arcpublishing.com/madsack/DMRI6DNU6FDKFLLBD53QC2RXEY.jpeg
"Jennifer Doemkes, dpa, t-online",general,"Die älteste Tochter von Máxima und Willem-Alexander wird ihrem Vater einmal auf den Thron folgen. Doch schon ab heute wird ihre Rolle im Königshaus anders aussehen, denn Amalia ist jetzt volljährig.… [+3874 chars]",deu,"Die älteste Tochter von Máxima und Willem-Alexander wird ihrem Vater einmal auf den Thron folgen. Doch schon ab heute wird ihre Rolle im Königshaus anders aussehen, denn Amalia ist jetzt volljährig.",2021-12-07T12:44:49Z,t-online.de,Crown Princess Amalia celebrates 18th birthday - what changes now - t-online.de,https://www.t-online.de/unterhaltung/stars/royals/id_91279288/kronprinzessin-amalia-feiert-18-geburtstag-was-sich-jetzt-aendert.html,https://bilder.t-online.de/b/91/27/93/26/id_91279326/tid_da/kronprinzessin-amalia-die-zukuenftige-koenigin-der-niederlande-feiert-ihre-volljaehrigkeit-.jpg
tagesschau,general,"""Aufbruch"", ""Zeit der Tat"", ""Regierung für die Menschen"" - die Koalitionspartner sparten beim Unterzeichnen ihres Vertrags im Berliner Futurium nicht mit Pathos. Aber nach der Show kamen die Detailfr… [+2968 chars]",deu,"""Aufbruch"", ""Zeit der Tat"", ""Regierung für die Menschen"" - die Koalitionspartner sparten beim Unterzeichnen ihres Vertrags im Berliner Futurium nicht mit Pathos. Aber nach der Show kamen die Detailfragen. <em>Von Uli Hauck.</em>",2021-12-07T12:40:08Z,tagesschau.de,"Coalition agreement signed: First staging, then everyday business | tagesschau.de - tagesschau.de",https://www.tagesschau.de/inland/koalitionsvertrag-161.html,https://www.tagesschau.de/multimedia/bilder/unterzeichnung-koalitionsvertrag-105~_v-original.jpg
Nico Fried,general,Angela Merkel darf am Mittwoch nicht ins Plenum des Bundestages. Erstmals wird ein Machtwechsel ohne Gratulation des Vorgängers für den Nachfolger im Parlament stattfinden. Dieser Moment ist voller E… [+5483 chars],deu,Merkel darf Scholz am Mittwoch im Bundestag nicht persönlich gratulieren.,2021-12-07T12:33:07Z,Süddeutsche Zeitung,Chancellor's election: Congratulations with a delay - Süddeutsche Zeitung,https://www.sueddeutsche.de/politik/kanzlerwahl-handschlag-merkel-scholz-1.5481889,https://www.sueddeutsche.de/image/sz.1.5482124/1200x675?v=1638890375
Friedrich Schmidt,general,"Vor dem Gespräch des russischen Präsidenten Wladimir Putin mit dem amerikanischen Präsidenten Joe Biden hat Moskau erkennen lassen, dass es Russland mit Blick auf die Ukraine um zweierlei geht. Einer… [+2911 chars]",deu,Der Ukraine-Konflikt wird das Gespräch zwischen Joe Biden und Wladimir Putin bestimmen. Russlands Präsident dringt auf einen vertraglichen Ausschluss einer NATO-Mitgliedschaft Kiews. Das ist ein Thema mit Brisanz.,2021-12-07T12:20:00Z,Faz.net,Ukraine conflict: What Putin now wants from Biden - FAZ - Frankfurter Allgemeine Zeitung,https://www.faz.net/aktuell/politik/ausland/ukraine-konflikt-was-putin-jetzt-von-biden-will-17671674.html,https://media1.faz.net/ppmedia/aktuell/politik/767117953/1.7671701/facebook_teaser/us-praesident-biden-und-russlands-praesident-putin.jpg
dpa,general,"München (dpa) - Giesing bebt. Nach dem Kader-Rauswurf von Kapitän Sascha Mölders beim Fußball-Drittligisten TSV 1860 München wird über die Hintergründe der Entscheidung spekuliert.
Seine Fitness? Se… [+2570 chars]",deu,Sascha Mölders ist großer Liebling der 'Löwen'-Fans.,2021-12-07T12:12:30Z,t-online.de,3. league - Tremors at 1860: Speculation after Mölders' sacking - t-online.de,https://www.t-online.de/sport/fussball/id_91279692/3-liga-beben-bei-1860-spekulationen-nach-rauswurf-von-moelders.html,https://bilder.t-online.de/b/91/27/96/96/id_91279696/tid_da/wurde-aus-dem-1860-kader-verbannt-sascha-moelders-.jpg
Bild.de,general,"München Auch Kleinkinder unterliegen beim Besuch von Kindertagesstätten im neuen Jahr einer Corona-Testnachweispflicht. 
 Das beschloss das bayerische Kabinett am Dienstag. Kinder, die älter als ein… [+904 chars]",deu,München – Auch Kleinkinder unterliegen beim Besuch von Kindertagesstätten im neuen Jahr einer Corona-Testnachweispflicht.  ▶︎ Das beschloss das bayerisch...,2021-12-07T11:51:45Z,Bild,After Christmas holidays: Corona tests also compulsory in day-care centres - BILD,https://www.bild.de/regional/muenchen/muenchen-aktuell/nach-weihnachtsferien-corona-tests-auch-in-kitas-pflicht-78469468.bild.html,https://images.bild.de/61af49448f8b361a16c73271/d7464344a89896433e6d70beba367615/1/2?w=1280
Gilles Rof,general,"Le professeur Didier Raoult, directeur de lInstitut hospitalo-universitaire en maladies infectieuses (IHU) Méditerranée Infection, dans son bureau, à Marseille, le 26 février 2020. GERARD JULIEN / AF… [+3079 chars]",fra,"La chambre disciplinaire de l’ordre des médecins sanctionne le microbiologiste pour avoir vanté la molécule, dont l’efficacité n’a jamais été démontrée, mais rejette l’accusation de « charlatanisme ».",2021-12-07T15:47:40Z,Le Monde,"Professor Raoult blamed for his communication, not for his hydroxychloroquine treatment - Le Monde",https://www.lemonde.fr/planete/article/2021/12/07/le-professeur-raoult-blame-pour-sa-communication-pas-pour-son-traitement-a-l-hydroxychloroquine_6105056_3244.html,https://img.lemde.fr/2021/12/07/751/0/4243/2119/1440/720/60/0/30b033d_974244866-000-1q1867.jpg
Raphaël Nouet,general,"Zapping But! Football Club Bordeaux, PSG, OM, OL, ASSE : le top 10 des meilleurs buteurs de Ligue 1 en activité
Pas du genre à faire des vagues, Robert Lewandowski a surpris en s'en prenant à Lionel… [+1418 chars]",fra,"L'attaquant du Bayern Munich Robert Lewandowski est revenu sur ses propos polémiques concernant sa 2e place au Ballon d'Or. Non, il n'en veut pas à Lionel Messi pour avoir dit qu'il le méritait.",2021-12-07T15:00:00Z,Butfootballclub.fr,PSG : Lewandowski apologises and closes Messi controversy - But! Football Club,https://www.butfootballclub.fr/psg/actualite/psg-lewandowski-s-excuse-et-clot-la-polemique-avec-messi-726588,https://static.butfootballclub.fr/photo_article/726588/285265/1200-L-psg-lewandowski-s-excuse-et-clt-la-polmique-avec-messi.jpg
"Thomas Prouteau, Thomas Pierre",general,"L'un des suspects saoudiens du meurtre de Jamal Khashoggi a été arrêté en France ce mardi 7 décembre d'après des sources policières et judiciaires. Selon les informations de RTL, il s'agit de Khaled … [+1797 chars]",fra,"Selon nos informations, Khaled Aedh Al-Otaibi, 33 ans et ex-membre de la Garde Royale d’Arabie saoudite, a été interpellé mardi matin à l'aéroport Charles de Gaulle de Roissy, alors qu'il s'apprêtait à embarquer pour Ryad.",2021-12-07T14:58:00Z,Www.rtl.fr,RTL - Khashoggi case: one of the presumed killers of the Saudi journalist arrested in Roissy - RTL.fr,https://www.rtl.fr/actu/international/info-rtl-affaire-khashoggi-l-un-des-meurtriers-presumes-du-journaliste-saoudien-arrete-a-roissy-7900103777,https://images.rtl.fr/~c/2000v2000/rtl/www/1325192-la-disparition-du-journaliste-saoudien-jamal-khashoggi-a-cree-un-vive-emoi-international.jpg
So. B.,general,"Alors quun immeuble de trois étages a explosé à 3h50 mardi matin, sur le port de Sanary, faisant un mort, et que les secours sactivaient pour retrouver deux personnes considérées sous les décombres, … [+1453 chars]",fra,"La justice a ouvert une enquête pour ""recherche des causes de la mort"", a indiqué ce mardi après-midi le procureur de la République de Toulon, Dominique Mirkovic.",2021-12-07T14:17:00Z,Varmatin.com,"A quote.... ""There was town gas in the collapsed building in Sanary but ""the origin of the explosion is still being sought"" - Var-Matin",https://www.varmatin.com/faits-divers/il-y-avait-bien-du-gaz-de-ville-dans-limmeuble-effondre-a-sanary-mais-lorigine-de-lexplosion-est-toujours-recherchee-732080,https://fyooyzbm.filerobot.com/v7/IMG_8872-OGOJZUOU.JPG?vh=424624&ci_seal=5361e0085a
Rédaction,general,"Si le PSG est déjà assuré de participer aux huitièmes de finale de la Ligue des champions, il ne devra pas prendre à la légère le Club Bruges s'il veut s'imposer au Parc des Princes, devant son publi… [+320 chars]",fra,"Découvrez 5 statistiques avant la rencontre entre le PSG et les Belges du Club Bruges, mardi (18 h 45), à l'occasion de la sixième et dernière journée de la phase de groupes de Ligue des champions.",2021-12-07T13:50:08Z,L'equipe,The figures you need to know before the PSG-Club Brugge match in the Champions League - L'Équipe.fr,https://www.lequipe.fr/Football/Actualites/Les-chiffres-a-connaitre-avant-la-rencontre-psg-club-bruges-en-ligue-des-champions/1303621,https://medias.lequipe.fr/img-video-cover/1500000001578558/640/0
,general,"Pour son premier meeting de candidat à la présidentielle, l'essayiste d'extrême droite a rassemblé environ 12 000 personnes au Parc des expositions de Villepinte, dimanche 5 décembre. Franceinfo a re… [+8817 chars]",fra,"Pour son premier meeting de candidat à la présidentielle, l'essayiste d'extrême droite a rassemblé environ 12 000 personnes au Parc des expositions de Villepinte, dimanche 5 décembre. Franceinfo a rencontré celles et ceux qui avaient fait le déplacement.",2021-12-07T13:48:42Z,Francetvinfo.fr,"Ahead of the meeting of the French National Congress, a group of former members of the French National Party (RN) and the ""yellow waistcoats""... We met the French people who were at the meeting of Eric Zemmou - Franceinfo",https://www.francetvinfo.fr/elections/presidentielle/presidentielle-2022-decus-du-rn-ex-fillonistes-gilets-jaunes-on-a-rencontre-les-francais-qui-etaient-au-meeting-d-eric-zemmour_4871343.html,https://www.francetvinfo.fr/pictures/1o3REGjS7bN2wz7Ywse7t6BTAoM/1500x843/2021/12/06/phpVqXXju.jpg
,general,"La plateforme d'achat de billets va fusionner avec l'application d'informations aux voyageurs, Assistant SNCF.Le site oui.sncf va changer de nom pour s'appeler sncf-connect.com en janvier. Dans le mê… [+1067 chars]",fra,"La plateforme d'achat de billets va fusionner avec l'application d'informations aux voyageurs, Assistant SNCF.",2021-12-07T13:41:10Z,Francetvinfo.fr,The oui.sncf website will change its name (again) to SNCF Connect - Franceinfo,https://www.francetvinfo.fr/economie/transports/sncf/le-site-oui-sncf-va-encore-changer-de-nom-pour-devenir-sncf-connect_4872449.html,https://www.francetvinfo.fr/pictures/MeHG9-pUKYve8g_CzJ1no5ujMB0/1500x843/2021/12/07/phpHj5jyA.jpg
Le Figaro avec AFP,general,Le chef de l'État promet une «indemnisation exemplaire» aux établissements fermés au moins jusquà janvier.Emmanuel Macron s'est engagé mardi à ce que les discothèques puissent rouvrir «au plus vite» … [+1959 chars],fra,Le chef de l'État promet une «indemnisation exemplaire» aux établissements fermés au moins jusqu’à janvier.,2021-12-07T13:05:57Z,Lefigaro.fr,"Macron pledges to reopen nightclubs ""as soon as possible"" - Le Figaro",https://www.lefigaro.fr/societes/macron-s-engage-a-rouvrir-les-discotheques-au-plus-vite-20211207,https://i.f1g.fr/media/cms/704x396_cropupscale/2021/12/07/042b2599dea1792de7eeced35a0fdb816b1adf594da6ab67ad87aa9ae80bea5d.jpg
Le Monde avec AFP,general,"Guy Forget à Paris, en mars 2019. PHILIPPE LOPEZ / AFP
Guy Forget, en fin de contrat, « quitte ses fonctions de directeur » des tournois de Roland-Garros et du Masters 1 000 de Paris, a annoncé, mar… [+1816 chars]",fra,"Les raisons du départ de l’ex-numéro un français de tennis ne sont pas précisées. Son nom avait été cité en octobre dans les « Pandora Papers », selon lesquels il aurait bénéficié de montages fiscaux opaques dans le paradis fiscal des îles Vierges britannique…",2021-12-07T12:47:04Z,Le Monde,Guy Forget to step down as tournament director for Roland Garros and Rolex Paris Masters - Le Monde,https://www.lemonde.fr/sport/article/2021/12/07/guy-forget-ne-sera-plus-directeur-des-tournois-de-roland-garros-et-de-rolex-paris-masters_6105033_3242.html,https://img.lemde.fr/2021/12/07/190/0/4200/2098/1440/720/60/0/19daef8_239358535-000-1ew6hi.jpg
Julien Pereira,general,"Max Verstappen (Red Bull) et Lewis Hamilton (Mercedes) au Grand Prix d'Italie 2021
Crédit: Getty Images",fra,"GRAND PRIX D'ABOU DABI - Entre Verstappen et Hamilton, la rivalité a parfois ressemblé à un combat de boxe. Revivez leurs dépassements.",2021-12-07T12:43:00Z,Eurosport.fr,Formula 1 - Max Verstappen and Lewis Hamilton have a breathtaking battle: Relive their overtaking - Eurosport.co.uk,https://www.eurosport.fr/formule-1/grand-prix-d-abou-dabi/2021/formule-1-entre-max-verstappen-et-lewis-hamilton-un-combat-a-couper-le-souffle-revivez-leurs-depasse_sto8662559/story.shtml,https://i.eurosport.com/2021/09/12/3217587-65907008-2560-1440.jpg
Holo Han,general,"Les planètes Mode et Rap sont toutes les deux en deuil. Elles pleurent la mort de Virgil Abloh, décédé le dimanche 28 novembre 2021. Les proches du fondateur d'Off-White se sont réunis une dernière f… [+1440 chars]",fra,"Virgil Abloh était aimé ! Sa famille et ses fans en ont encore eu la preuve ce lundi 6 décembre, date de ses obsèques. Kanye West était évidemment présent pour faire ses adieux à son ex-protégé. Kim Kardashian, Rihanna, A$AP Rocky et Drake ont également assis…",2021-12-07T12:06:00Z,Pure People,"Virgil Abloh's funeral: Kanye West, Kim Kardashian, Rihanna, Drake... The emotion in Chicago - Pure People",https://www.purepeople.com/article/obseques-de-virgil-abloh-kanye-west-kim-kardashian-rihanna-drake-tous-reunis-a-chicago_a466771/1,https://static1.purepeople.com/articles/1/46/67/71/@/6723160-kim-kardashian-kanye-west-et-virgil-abl-opengraph_1200-3.jpg
,general,"Les doses de Pfizer pour les plus jeunes seront diluées, ne représentant qu'un tiers de ce qui est injecté aux plus de 12 ans.
Après l'ouverture de la vaccination aux moins de 12 ans dans plusieurs … [+4147 chars]",fra,"Les doses de Pfizer pour les plus jeunes seront diluées, ne représentant qu'un tiers de ce qui est injecté aux plus de 12 ans.",2021-12-07T11:55:00Z,BFMTV,What we know about Pfizer's pediatric vaccine for 5-11 year olds - BFMTV,https://www.bfmtv.com/sante/ce-que-l-on-sait-sur-le-vaccin-pediatrique-pfizer-pour-les-5-11-ans_AN-202112070258.html,https://images.bfmtv.com/prGVxek0oofKLwB9R5uu2q4mqxI=/0x0:1920x1080/1920x0/images/Un-enfant-de-8-ans-recoit-une-injection-de-vaccin-contre-le-Covid-19-le-5-novembre-2021-a-Southfield-dans-le-Michigan-illustration-1183361.jpg
,general,,fra,"Un nouveau festival de cinéma voit le jour en Arabie Saoudite ! Tina Kunakey et Vincent Cassel en ont célébré l'ouverture lundi soir. Le couple y a croisé Cécilia et Richard Attias, ainsi que d'autres",2021-12-07T11:48:18Z,Pure People,Slideshow Tina Kunakey and Vincent Cassel : Super chic lovers with Cécilia and Richard Attias - Pure People,https://www.purepeople.com/diapo/tina-kunakey-et-vincent-cassel-amoureux-super-chic-avec-cecilia-et-richard-attias_a466750/1,https://static1.purepeople.com/articles/0/46/67/50/@/6722770-tina-kunakey-et-vincent-cassel-assistent-opengraph_1200-3.jpg
FRANCE 24,general,"Joe Biden, le président des États-Unis d'Amérique, et Vladimir Poutine, le président russe, vont s'entretenir ce mardi. Les tensions à la frontière entre la Russie et l'Ukraine seront au cur des déba… [+6295 chars]",fra,"Joe Biden, le président des États-Unis d'Amérique, et Vladimir Poutine, le président russe, vont s'entretenir ce mardi. Les tensions à la frontière entre la Russie et l'Ukraine seront au cœur des débats. Washington redoute une invasion russe tandis que Moscou…",2021-12-07T11:36:44Z,FRANCE 24 English,Russia-Ukraine tensions: a discussion between Biden and Putin to calm things down - FRANCE 24,https://www.france24.com/fr/europe/20211207-tensions-russie-ukraine-entre-biden-et-poutine-une-discussion-pour-calmer-le-jeu,https://s.france24.com/media/display/fd41f3a0-574b-11ec-9617-005056a97e36/w:1280/p:16x9/AP21340556036160.jpg
Francozore,general,"Triste nouvelle pour les fans de la saga Halo et notamment pour les plus perfectionnistes d’entre eux puisque Microsoft a confirmé auprès de Polygon
 que les missions de la campagne d’Halo Infinite … [+2761 chars]",fra,Triste nouvelle pour les fans de la saga Halo et notamment pour les plus perfectionnistes d'entre eux puisque Microsoft a confirmé auprès de Polygon  que les (...),2021-12-07T11:07:49Z,Xboxygen,Halo Infinite: Campaign missions cannot be replayed - Xboxygen,https://www.xboxygen.com/News/38996-Halo-Infinite-il-est-impossible-de-rejouer-les-missions-de-la-campagne,https://www.xboxygen.com/IMG/jpg/halo-infinite-gold.jpg
